pdf_path,pdf_filename,well_family,rank,keyword,tfidf_score
C:\Users\user\Downloads\eilink_ra_ds\eilink_ra_ds\data\raw_pdfs\15_9_19_A_1997_08_04.pdf,15_9_19_A_1997_08_04.pdf,15_9_19,9,insert bit,0.196436
C:\Users\user\Downloads\eilink_ra_ds\eilink_ra_ds\data\raw_pdfs\15_9_19_A_1997_08_04.pdf,15_9_19_A_1997_08_04.pdf,15_9_19,10,oriented toolface,0.189714
C:\Users\user\Downloads\eilink_ra_ds\eilink_ra_ds\data\raw_pdfs\15_9_19_A_1997_08_05.pdf,15_9_19_A_1997_08_05.pdf,15_9_19,1,short,0.296477
C:\Users\user\Downloads\eilink_ra_ds\eilink_ra_ds\data\raw_pdfs\15_9_19_A_1997_08_05.pdf,15_9_19_A_1997_08_05.pdf,15_9_19,2,tripped,0.241198
C:\Users\user\Downloads\eilink_ra_ds\eilink_ra_ds\data\raw_pdfs\15_9_19_A_1997_08_05.pdf,15_9_19_A_1997_08_05.pdf,15_9_19,3,itioning,0.231029
C:\Users\user\Downloads\eilink_ra_ds\eilink_ra_ds\data\raw_pdfs\15_9_19_A_1997_08_05.pdf,15_9_19_A_1997_08_05.pdf,15_9_19,4,bit change,0.219389
C:\Users\user\Downloads\eilink_ra_ds\eilink_ra_ds\data\raw_pdfs\15_9_19_A_1997_08_05.pdf,15_9_19_A_1997_08_05.pdf,15_9_19,5,boosted riser,0.198719
C:\Users\user\Downloads\eilink_ra_ds\eilink_ra_ds\data\raw_pdfs\15_9_19_A_1997_08_05.pdf,15_9_19_A_1997_08_05.pdf,15_9_19,6,boosted,0.198719
C:\Users\user\Downloads\eilink_ra_ds\eilink_ra_ds\data\raw_pdfs\15_9_19_A_1997_08_05.pdf,15_9_19_A_1997_08_05.pdf,15_9_19,7,circulated clean,0.167115
C:\Users\user\Downloads\eilink_ra_ds\eilink_ra_ds\data\raw_pdfs\15_9_19_A_1997_08_05.pdf,15_9_19_A_1997_08_05.pdf,15_9_19,8,window,0.165016
C:\Users\user\Downloads\eilink_ra_ds\eilink_ra_ds\data\raw_pdfs\15_9_19_A_1997_08_05.pdf,15_9_19_A_1997_08_05.pdf,15_9_19,9,trip gas,0.15583
C:\Users\user\Downloads\eilink_ra_ds\eilink_ra_ds\data\raw_pdfs\15_9_19_A_1997_08_05.pdf,15_9_19_A_1997_08_05.pdf,15_9_19,10,window circulated,0.15583
C:\Users\user\Downloads\eilink_ra_ds\eilink_ra_ds\data\raw_pdfs\15_9_19_A_1997_08_06.pdf,15_9_19_A_1997_08_06.pdf,15_9_19,1,tih,0.308189
C:\Users\user\Downloads\eilink_ra_ds\eilink_ra_ds\data\raw_pdfs\15_9_19_A_1997_08_06.pdf,15_9_19_A_1997_08_06.pdf,15_9_19,2,took scrs,0.265353
C:\Users\user\Downloads\eilink_ra_ds\eilink_ra_ds\data\raw_pdfs\15_9_19_A_1997_08_06.pdf,15_9_19_A_1997_08_06.pdf,15_9_19,3,filled drillstring,0.265353
C:\Users\user\Downloads\eilink_ra_ds\eilink_ra_ds\data\raw_pdfs\15_9_19_A_1997_08_06.pdf,15_9_19_A_1997_08_06.pdf,15_9_19,4,circulating bottoms,0.248853
C:\Users\user\Downloads\eilink_ra_ds\eilink_ra_ds\data\raw_pdfs\15_9_19_A_1997_08_06.pdf,15_9_19_A_1997_08_06.pdf,15_9_19,5,scrs,0.237145
C:\Users\user\Downloads\eilink_ra_ds\eilink_ra_ds\data\raw_pdfs\15_9_19_A_1997_08_06.pdf,15_9_19_A_1997_08_06.pdf,15_9_19,6,corrected,0.232352
C:\Users\user\Downloads\eilink_ra_ds\eilink_ra_ds\data\raw_pdfs\15_9_19_A_1997_08_06.pdf,15_9_19_A_1997_08_06.pdf,15_9_19,7,washed stand,0.228064
C:\Users\user\Downloads\eilink_ra_ds\eilink_ra_ds\data\raw_pdfs\15_9_19_A_1997_08_06.pdf,15_9_19_A_1997_08_06.pdf,15_9_19,8,casing window,0.228064
C:\Users\user\Downloads\eilink_ra_ds\eilink_ra_ds\data\raw_pdfs\15_9_19_A_1997_08_06.pdf,15_9_19_A_1997_08_06.pdf,15_9_19,9,gas,0.227491
C:\Users\user\Downloads\eilink_ra_ds\eilink_ra_ds\data\raw_pdfs\15_9_19_A_1997_08_06.pdf,15_9_19_A_1997_08_06.pdf,15_9_19,10,ditioning,0.217387
C:\Users\user\Downloads\eilink_ra_ds\eilink_ra_ds\data\raw_pdfs\15_9_19_A_1997_08_07.pdf,15_9_19_A_1997_08_07.pdf,15_9_19,1,circulated shakers,0.272366
C:\Users\user\Downloads\eilink_ra_ds\eilink_ra_ds\data\raw_pdfs\15_9_19_A_1997_08_07.pdf,15_9_19_A_1997_08_07.pdf,15_9_19,2,boosted riser,0.229539
C:\Users\user\Downloads\eilink_ra_ds\eilink_ra_ds\data\raw_pdfs\15_9_19_A_1997_08_07.pdf,15_9_19_A_1997_08_07.pdf,15_9_19,3,boosted,0.229539
C:\Users\user\Downloads\eilink_ra_ds\eilink_ra_ds\data\raw_pdfs\15_9_19_A_1997_08_07.pdf,15_9_19_A_1997_08_07.pdf,15_9_19,4,increase,0.215341
C:\Users\user\Downloads\eilink_ra_ds\eilink_ra_ds\data\raw_pdfs\15_9_19_A_1997_08_07.pdf,15_9_19_A_1997_08_07.pdf,15_9_19,5,shakers,0.205663
C:\Users\user\Downloads\eilink_ra_ds\eilink_ra_ds\data\raw_pdfs\15_9_19_A_1997_08_07.pdf,15_9_19_A_1997_08_07.pdf,15_9_19,6,note excessive,0.179998
C:\Users\user\Downloads\eilink_ra_ds\eilink_ra_ds\data\raw_pdfs\15_9_19_A_1997_08_07.pdf,15_9_19_A_1997_08_07.pdf,15_9_19,7,bottoms shakers,0.179998
C:\Users\user\Downloads\eilink_ra_ds\eilink_ra_ds\data\raw_pdfs\15_9_19_A_1997_08_07.pdf,15_9_19_A_1997_08_07.pdf,15_9_19,8,torque drag,0.179998
